WKT,latitude,longitude,street,postalcode,city,description
"POINT (4.32057 51.92728)",51.92728,4.32057,Bronstijdpad, 3138 HE, Vlaardingen,https://waarneming.nl/observation/380718717/
"POINT (4.28401 52.08698)",52.08698,4.28401,Alexander Gogelweg, 2517 JD, Den Haag,https://waarneming.nl/observation/380884108/
"POINT (4.47589 52.24255)",52.24255,4.47589,Leeweg, 2211 XZ, Noordwijkerhout,https://waarneming.nl/observation/381063281/
"POINT (4.30412 52.09824)",52.09824,4.30412,Sint Hubertusweg, 2597 JG, Den Haag,https://waarneming.nl/observation/383580647/
"POINT (4.72661 52.00789)",52.00789,4.72661,Zuider IJsseldijk, 2808 PB, Gouda,https://waarneming.nl/observation/381156502/
"POINT (4.71171 52.00807)",52.00807,4.71171,Peperstraat, 2801 RH, Gouda,https://waarneming.nl/observation/381158806/
"POINT (4.33779 51.90958)",51.90958,4.33779,Markgraaflaan, 3131 VR, Vlaardingen,https://waarneming.nl/observation/381303617/
"POINT (4.48295 52.05189)",52.05189,4.48295,Stadhoudersring, 2713 GA, Zoetermeer,https://waarneming.nl/observation/381342529/
"POINT (4.31201 51.9312)",51.93120,4.31201,Vlaardingen-cultuurpad, 3155 EZ, Vlaardingen,https://waarneming.nl/observation/381491549/
"POINT (4.37156 52.11703)",52.11703,4.37156,Van der Oudermeulenlaan, 2243 CR, Wassenaar,https://waarneming.nl/observation/381649868/
"POINT (4.3184 52.09701)",52.09701,4.31840,Goetlijfstraat, 2596 RM, Den Haag,https://waarneming.nl/observation/381775886/
"POINT (4.33684 52.08369)",52.08369,4.33684,Juliana van Stolberglaan, 2595 HH, Den Haag,https://waarneming.nl/observation/381960657/
"POINT (4.73486 52.01816)",52.01816,4.73486,Goudse Houtsingel, 2805 KL, Gouda,https://waarneming.nl/observation/381971756/
"POINT (4.28844 51.90817)",51.90817,4.28844,Rijksweg nr 24, 3133 KB, Vlaardingen,https://waarneming.nl/observation/382007685/
"POINT (4.26966 51.91354)",51.91354,4.26966,Vlaardingsedijk, 3143 LT, Maassluis,https://waarneming.nl/observation/382542438/
"POINT (4.28316 52.09869)",52.09869,4.28316,Scheveningseweg, 2517 KX, Den Haag,https://waarneming.nl/observation/382424455/
"POINT (4.23817 52.04207)",52.04207,4.23817,Mien van Breepad, 2553 NE, Den Haag,https://waarneming.nl/observation/382644380/
"POINT (4.48976 52.0656)",52.06560,4.48976,Zwaardslootseweg, 2726 BR, Zoetermeer,https://waarneming.nl/observation/382692275/
"POINT (4.27194 52.08395)",52.08395,4.27194,Segbroeklaan, 2566 LA, Den Haag,https://waarneming.nl/observation/375846253/
"POINT (4.39225 52.09829)",52.09829,4.39225,Duivenvoorde, 2261 AL, Leidschendam,https://waarneming.nl/observation/369065183/
"POINT (4.3794 52.0862)",52.08620,4.37940,Via Verdi, 2272 WE, Voorburg,https://waarneming.nl/observation/373494976/
"POINT (4.35268 52.0609)",52.06090,4.35268,Fonteynenburghlaan, 2275 CX, Voorburg,https://waarneming.nl/observation/375534819/
"POINT (4.34905 52.08085)",52.08085,4.34905,Nicolaas Beetslaan, 2273 TR, Voorburg,https://waarneming.nl/observation/377370718/
"POINT (4.37453 52.07198)",52.07198,4.37453,Oosteinde, 2271 EV, Voorburg,https://waarneming.nl/observation/377607205/
"POINT (4.40129 52.10135)",52.10135,4.40129,Teylingen, 2261 XR, Leidschendam,https://waarneming.nl/observation/380228716/
"POINT (4.35357 52.06994)",52.06994,4.35357,Koningin Wilhelminalaan, 2274 AB, Voorburg,https://waarneming.nl/observation/380600610/
"POINT (4.42042 52.19472)",52.19472,4.42042,Vinkeweg, 2223 JH, Katwijk,https://waarneming.nl/observation/372696300/
"POINT (4.49481 52.13355)",52.13355,4.49481,Boerenpad, 2322 LA, Leiden,https://waarneming.nl/observation/373986099/
"POINT (4.50511 52.17215)",52.17215,4.50511,Havikpad, 2317 AL, Leiden,https://waarneming.nl/observation/380860330/
"POINT (4.46229 52.2405)",52.24050,4.46229,Gooweg, 2203 AB, Noordwijk,https://waarneming.nl/observation/372435923/
