WKT,latitude,longitude,street,postalcode,city,description
"POINT (5.30212 52.34241)",52.34241,5.30212,Spechtlaan, 1343 AL, Almere,https://waarneming.nl/observation/348430934/
"POINT (6.72656 51.9751)",51.97510,6.72656,Kobstederstraat, 7103 ZS, Winterswijk,https://waarneming.nl/observation/348431024/
"POINT (5.46099 52.03009)",52.03009,5.46099,Scherpenzeelseweg, 3956 KD, Leersum,https://waarneming.nl/observation/348433245/
"POINT (6.39985 52.15318)",52.15318,6.39985,Hammarskjöldweg, 7242 HV, Lochem,https://waarneming.nl/observation/354560193/
"POINT (5.96867 51.97939)",51.97939,5.96867,Doorwerthlaan, 6825 EX, Arnhem,https://waarneming.nl/observation/348663254/
"POINT (5.1666 52.21901)",52.21901,5.16660,Taludweg, 1215 AA, Hilversum,https://waarneming.nl/observation/348700780/
"POINT (5.35535 52.03241)",52.03241,5.35535,Postweg, 3941 KA, Doorn,https://waarneming.nl/observation/348901306/
"POINT (5.21662 52.08721)",52.08721,5.21662,Roerdomplaan, 3704 XG, Zeist,https://waarneming.nl/observation/348905129/
"POINT (6.48394 51.87016)",51.87016,6.48394,De Marke, 7091 RB, Dinxperlo,https://waarneming.nl/observation/349155287/
"POINT (6.30497 51.96669)",51.96669,6.30497,Varsseveldseweg, 7002 LJ, Doetinchem,https://waarneming.nl/observation/349202440/
"POINT (5.09221 52.08809)",52.08809,5.09221,Kanaalweg, 3533 HG, Utrecht,https://waarneming.nl/observation/349277989/
"POINT (5.19225 51.88868)",51.88868,5.19225,Prins Willem-Alexandersingel, 4153 BH, Beesd,https://waarneming.nl/observation/349930330/
"POINT (5.74196 51.78325)",51.78325,5.74196,Graafseweg, 6603 CJ, Wijchen,https://waarneming.nl/observation/349545876/
"POINT (5.28779 52.12224)",52.12224,5.28779,Banningstraat, 3769 AA, Soesterberg,https://waarneming.nl/observation/349590618/
"POINT (4.6593 52.33098)",52.33098,4.65930,Drie Merenpad, 2134 TX, Cruquius,https://waarneming.nl/observation/349990732/
"POINT (4.65192 52.33145)",52.33145,4.65192,Spieringweg, 2142 ED, Cruquius,https://waarneming.nl/observation/349486380/
"POINT (5.20725 52.34643)",52.34643,5.20725,Tuingouw, 1352 GZ, Almere,https://waarneming.nl/observation/349526783/
"POINT (6.10729 51.85431)",51.85431,6.10729,de Raai, 6916 DK, Tolkamer,https://waarneming.nl/observation/349555186/
"POINT (5.84754 51.81324)",51.81324,5.84754,Sint Jacobslaan, 6533 VH, Nijmegen,https://waarneming.nl/observation/349882088/
"POINT (6.48148 51.86291)",51.86291,6.48148,Beggelderveldweg, 7091 HM, Dinxperlo,https://waarneming.nl/observation/349843104/
"POINT (5.20673 52.34672)",52.34672,5.20673,Tuingouw, 1352 GZ, Almere,https://waarneming.nl/observation/349669402/
"POINT (5.2231 52.13164)",52.13164,5.22310,Burgemeester Van der Borchlaan, 3722 GZ, Bilthoven,https://waarneming.nl/observation/349778960/
"POINT (5.3028 52.03737)",52.03737,5.30280,Sterkenburgerlaan, 3941 BB, Doorn,https://waarneming.nl/observation/350126424/
"POINT (5.27391 52.06723)",52.06723,5.27391,Olympia, 3971 NK, Driebergen-Rijsenburg,https://waarneming.nl/observation/350043046/
"POINT (5.22915 52.05086)",52.05086,5.22915,De Vork, 3984 PA, Odijk,https://waarneming.nl/observation/349865587/
"POINT (4.60498 52.36531)",52.36531,4.60498,Jaap Buijshof, 2111 TJ, Aerdenhout,https://waarneming.nl/observation/350105497/
"POINT (6.06203 51.92028)",51.92028,6.06203,Heilige Huisjes, 6905 AB, Oud-Zevenaar,https://waarneming.nl/observation/350043758/
"POINT (5.48844 52.43436)",52.43436,5.48844,Eendenweg, 8218 NC, Lelystad,https://waarneming.nl/observation/350237113/
"POINT (6.56781 51.90615)",51.90615,6.56781,Dinxperlosestraatweg, 7122 JG, Aalten,https://waarneming.nl/observation/350344078/
"POINT (4.88004 52.60129)",52.60129,4.88004,Westeinde, 1636 VG, Schermerhorn,https://waarneming.nl/observation/350390773/
"POINT (5.4312 52.13969)",52.13969,5.43120,Nabbert, 3831 PK, Leusden,https://waarneming.nl/observation/350409664/
"POINT (6.24179 52.15837)",52.15837,6.24179,Molendijk, 7211 MB, Eefde,https://waarneming.nl/observation/350477158/
"POINT (5.74123 51.78476)",51.78476,5.74123,Woordsestraat, 6603 LG, Wijchen,https://waarneming.nl/observation/350566793/
"POINT (5.15309 52.21867)",52.21867,5.15309,Wezellaan, 1216 CZ, Hilversum,https://waarneming.nl/observation/350660375/
"POINT (4.63033 52.454)",52.45400,4.63033,Eksterlaan, 1971 KS, IJmuiden,https://waarneming.nl/observation/350607838/
