WKT,latitude,longitude,street,postalcode,city,description
"POINT (4.50295 52.15091)",52.15091,4.50295,De Meij van Streefkerkstraat, 2313 JM, Leiden,https://waarneming.nl/observation/368669043/
"POINT (4.28209 51.688)",51.68800,4.28209,Achthuizensedijk, 3256 BD, Achthuizen,https://waarneming.nl/observation/360853555/
"POINT (4.50453 52.1516)",52.15160,4.50453,De Meij van Streefkerkstraat, 2313 JN, Leiden,https://waarneming.nl/observation/361078682/
"POINT (4.13957 51.97633)",51.97633,4.13957,Willem Barentsstraat, 3151 WG, Hoek van Holland,https://waarneming.nl/observation/361281626/
"POINT (4.71061 51.81528)",51.81528,4.71061,Adjudant H.P. Kosterstraat, 3313 AM, Dordrecht,https://waarneming.nl/observation/361522267/
"POINT (4.95152 51.8359)",51.83590,4.95152,Gruttershof, 4204 SE, Gorinchem,https://waarneming.nl/observation/361576075/
"POINT (4.33766 51.8083)",51.80830,4.33766,Akkerdreef, 3264 PM, Nieuw-Beijerland,https://waarneming.nl/observation/361607853/
"POINT (4.08899 51.90032)",51.90032,4.08899,Berkenrijsweg, 3235 ND, Rockanje,https://waarneming.nl/observation/361650841/
"POINT (4.06824 51.87168)",51.87168,4.06824,Abeelstraat, 3235 VA, Rockanje,https://waarneming.nl/observation/361953593/
"POINT (4.32924 52.01076)",52.01076,4.32924,Schietglas, 2614 SP, Delft,https://waarneming.nl/observation/361950632/
"POINT (4.08272 51.90781)",51.90781,4.08272,F H G van Itersonlaan, 3233 EL, Oostvoorne,https://waarneming.nl/observation/362002809/
"POINT (4.85635 51.8263)",51.82630,4.85635,Sluisweg, 3371 ES, Hardinxveld-Giessendam,https://waarneming.nl/observation/362164763/
"POINT (4.49143 51.72908)",51.72908,4.49143,Schuringsedijk, 3281 KS, Numansdorp,https://waarneming.nl/observation/362238463/
"POINT (4.50737 51.92923)",51.92923,4.50737,1e Jerichostraat, 3061 GJ, Rotterdam,https://waarneming.nl/observation/365136105/
"POINT (4.35222 51.99385)",51.99385,4.35222,Menno ter Braaklaan, 2624 TH, Delft,https://waarneming.nl/observation/363202561/
"POINT (3.9345 51.80729)",51.80729,3.93450,Spaanseweg, 3253 XJ, Ouddorp,https://waarneming.nl/observation/363069643/
"POINT (4.26276 51.91295)",51.91295,4.26276,Vlaardingsedijk, 3143 LN, Maassluis,https://waarneming.nl/observation/362868724/
"POINT (4.22068 51.88115)",51.88115,4.22068,Hollemarestraat, 3238 XH, Zwartewaal,https://waarneming.nl/observation/362996285/
"POINT (4.09545 51.90875)",51.90875,4.09545,Fazantenlaan, 3233 BB, Oostvoorne,https://waarneming.nl/observation/362996090/
"POINT (4.14849 51.85803)",51.85803,4.14849,Rijksstraatweg, 3222 KE, Hellevoetsluis,https://waarneming.nl/observation/362996411/
"POINT (4.23819 51.73418)",51.73418,4.23819,Molendijk, 3243 AM, Stad aan 't Haringvliet,https://waarneming.nl/observation/363135428/
"POINT (4.16781 51.84549)",51.84549,4.16781,Kanaalweg Westzijde, 3225 LZ, Hellevoetsluis,https://waarneming.nl/observation/363210792/
"POINT (4.37751 52.08726)",52.08726,4.37751,Noordelijke Randweg, 2272 VL, Voorburg,https://waarneming.nl/observation/363298669/
"POINT (4.20898 51.70319)",51.70319,4.20898,Blauwepannenweg, 3255 LA, Oude-Tonge,https://waarneming.nl/observation/363906474/
"POINT (3.97696 51.82153)",51.82153,3.97696,De Goede Ree, 3252 LJ, Goedereede,https://waarneming.nl/observation/364124084/
"POINT (4.2824 51.71733)",51.71733,4.28240,Boven Oostdijk, 3258 AD, Den Bommel,https://waarneming.nl/observation/364190110/
"POINT (4.24457 51.90771)",51.90771,4.24457,Bernhardstraat, 3181 GB, Rozenburg,https://waarneming.nl/observation/364292208/
"POINT (4.24175 51.90574)",51.90574,4.24175,Wilhelminastraat, 3181 VN, Rozenburg,https://waarneming.nl/observation/364433943/
"POINT (3.97732 51.82131)",51.82131,3.97732,De Goede Ree, 3252 LJ, Goedereede,https://waarneming.nl/observation/364813567/
"POINT (4.56301 52.04816)",52.04816,4.56301,Rottedijk, 2751 DJ, Moerkapelle,https://waarneming.nl/observation/365144175/
"POINT (4.79823 51.8228)",51.82280,4.79823,Batelier, 3362 JS, Sliedrecht,https://waarneming.nl/observation/365073079/
"POINT (4.43902 51.94104)",51.94104,4.43902,Zestienhovensekade, 3043 KT, Rotterdam,https://waarneming.nl/observation/365116742/
"POINT (4.27331 51.93009)",51.93009,4.27331,Haagwinde, 3155 WB, Maasland,https://waarneming.nl/observation/365198029/
"POINT (4.54259 51.87086)",51.87086,4.54259,Wester Hordijk, 3079 DM, Rotterdam,https://waarneming.nl/observation/365667065/
"POINT (4.10952 51.91023)",51.91023,4.10952,Hoektoren, 3233 RN, Oostvoorne,https://waarneming.nl/observation/367720197/
"POINT (4.68309 51.80634)",51.80634,4.68309,Timorstraat, 3312 CW, Dordrecht,https://waarneming.nl/observation/366128668/
"POINT (4.07001 51.89039)",51.89039,4.07001,Middelweg, 3235 NM, Rockanje,https://waarneming.nl/observation/366337061/
"POINT (4.76925 51.82648)",51.82648,4.76925,IJsselstraat, 3363 CX, Sliedrecht,https://waarneming.nl/observation/366788648/
"POINT (4.34232 52.09053)",52.09053,4.34232,Cornelis van der Lijnstraat, 2593 NJ, Den Haag,https://waarneming.nl/observation/366820349/
"POINT (4.0705 51.87098)",51.87098,4.07050,Lindenhorst, 3235 VH, Rockanje,https://waarneming.nl/observation/367722470/
"POINT (5.00291 51.83107)",51.83107,5.00291,Het Fluitketeltje, 4207 WP, Gorinchem,https://waarneming.nl/observation/366939027/
"POINT (4.34185 52.09039)",52.09039,4.34185,Cornelis van der Lijnstraat, 2593 NC, Den Haag,https://waarneming.nl/observation/368044200/
"POINT (4.40764 51.82916)",51.82916,4.40764,Roodpad, 3263 EM, Oud-Beijerland,https://waarneming.nl/observation/367370825/
"POINT (4.39975 51.92244)",51.92244,4.39975,Jan van Zutphenstraat, 3119 BP, Schiedam,https://waarneming.nl/observation/367219903/
"POINT (4.32736 52.08623)",52.08623,4.32736,Zuiderpad, 2594 NC, Den Haag,https://waarneming.nl/observation/368228411/
"POINT (4.51572 52.03969)",52.03969,4.51572,Lansingpad, 2718 RH, Zoetermeer,https://waarneming.nl/observation/367444288/
"POINT (4.3352 51.91529)",51.91529,4.33520,Engelsche Boomgaert, 3131 NN, Vlaardingen,https://waarneming.nl/observation/367506636/
"POINT (4.07472 51.90231)",51.90231,4.07472,Duinstraat, 3235 NK, Rockanje,https://waarneming.nl/observation/367724191/
"POINT (4.01838 51.80499)",51.80499,4.01838,Langeweg, 3251 CZ, Stellendam,https://waarneming.nl/observation/367718633/
"POINT (4.04934 51.77742)",51.77742,4.04934,Bouwdijk, 3248 LA, Melissant,https://waarneming.nl/observation/367816311/
"POINT (4.96517 51.83617)",51.83617,4.96517,Dokter Biegelstraat, 4205 AM, Gorinchem,https://waarneming.nl/observation/367935997/
"POINT (4.73666 51.8437)",51.84370,4.73666,Truus Snijderpad, 3356 LS, Papendrecht,https://waarneming.nl/observation/368135028/
"POINT (4.26649 51.91463)",51.91463,4.26649,Vlaardingsedijk, 3143 LN, Maassluis,https://waarneming.nl/observation/368083340/
