WKT,latitude,longitude,street,postalcode,city,description
"POINT (5.62323 51.65796)",51.65796,5.62323,Oliemolenstraat, 5402 LG, Uden,https://waarneming.nl/observation/344831583/
"POINT (5.05691 51.52563)",51.52563,5.05691,Rietven, 5051 BX, Goirle,https://waarneming.nl/observation/344968972/
"POINT (5.4921 51.44589)",51.44589,5.49210,Professor Doctor Dorgelolaan, 5613 AM, Eindhoven,https://waarneming.nl/observation/344867384/
"POINT (4.33478 51.39168)",51.39168,4.33478,Karmelietenstraat, 4641 KL, Ossendrecht,https://waarneming.nl/observation/344975332/
"POINT (5.44486 51.36235)",51.36235,5.44486,Kerstroosstraat, 5552 NS, Dommelen,https://waarneming.nl/observation/344998796/
"POINT (5.09954 51.58574)",51.58574,5.09954,Van Tetterodestraat, 5012 CP, Tilburg,https://waarneming.nl/observation/344947991/
"POINT (5.26605 51.36974)",51.36974,5.26605,De Wijer, 5527 EA, Hapert,https://waarneming.nl/observation/344954415/
"POINT (4.21763 51.58901)",51.58901,4.21763,Dortmundstraat, 4681 AV, Nieuw-Vossemeer,https://waarneming.nl/observation/348068106/
"POINT (4.91863 51.58656)",51.58656,4.91863,Wilhelminastraat, 5121 WT, Rijen,https://waarneming.nl/observation/344973417/
"POINT (4.44317 51.51318)",51.51318,4.44317,Dragonberg, 4708 DV, Roosendaal,https://waarneming.nl/observation/345319667/
"POINT (4.59876 51.65186)",51.65186,4.59876,De Knip, 4761 GW, Zevenbergen,https://waarneming.nl/observation/345134160/
"POINT (4.83082 51.59932)",51.59932,4.83082,Galgestraat, 4817 BR, Teteringen,https://waarneming.nl/observation/345048228/
"POINT (4.63153 51.57244)",51.57244,4.63153,Papenstraat, 4875 CK, Etten-Leur,https://waarneming.nl/observation/345063973/
"POINT (4.53835 51.58316)",51.58316,4.53835,Tuinderslaan, 4731 XL, Oudenbosch,https://waarneming.nl/observation/345092473/
"POINT (5.21137 51.35939)",51.35939,5.21137,Leemskuilen, 5531 NL, Bladel,https://waarneming.nl/observation/345086576/
"POINT (4.48832 51.53253)",51.53253,4.48832,Diamantdijk, 4706 HE, Roosendaal,https://waarneming.nl/observation/345136483/
"POINT (4.65451 51.5775)",51.57750,4.65451,Putter, 4872 PD, Etten-Leur,https://waarneming.nl/observation/345144864/
"POINT (4.44509 51.51107)",51.51107,4.44509,Dadelberg, 4708 DN, Roosendaal,https://waarneming.nl/observation/345209784/
"POINT (4.44406 51.51344)",51.51344,4.44406,Damastberg, 4708 DC, Roosendaal,https://waarneming.nl/observation/345156840/
"POINT (4.94771 51.68811)",51.68811,4.94771,Heemraadstraat, 5165 VW, Waspik,https://waarneming.nl/observation/345438029/
"POINT (5.18261 51.58543)",51.58543,5.18261,Zandacker, 5061 KW, Oisterwijk,https://waarneming.nl/observation/345275243/
"POINT (5.04475 51.54967)",51.54967,5.04475,Esperloop, 5032 XN, Tilburg,https://waarneming.nl/observation/345246647/
"POINT (4.45351 51.6391)",51.63910,4.45351,Molenstraat, 4793 RB, Fijnaart,https://waarneming.nl/observation/345257103/
"POINT (5.37245 51.5074)",51.50740,5.37245,Lamsvelden, 5685 HG, Best,https://waarneming.nl/observation/345306823/
"POINT (5.4439 51.49218)",51.49218,5.44390,Coutançeslaan, 5627 PX, Eindhoven,https://waarneming.nl/observation/345347580/
"POINT (5.51175 51.42041)",51.42041,5.51175,Vrijkensven, 5646 HP, Eindhoven,https://waarneming.nl/observation/345559021/
"POINT (5.51228 51.42109)",51.42109,5.51228,Kraanven, 5646 HK, Eindhoven,https://waarneming.nl/observation/345469018/
"POINT (4.32941 51.42289)",51.42289,4.32941,Huijbergseweg, 4631 GG, Hoogerheide,https://waarneming.nl/observation/345754649/
