WKT,latitude,longitude,street,postalcode,city,description
"POINT (5.64441 50.8546)",50.85460,5.64441,Neanderthalerweg, 3620, Veldwezelt,https://waarneming.nl/observation/376198720/
"POINT (5.96096 50.94966)",50.94966,5.96096,Kennedylaan, 6441 JG, Brunssum,https://waarneming.nl/observation/376387024/
"POINT (5.8361 51.1127)",51.11270,5.83610,Soldatenpad, 6109 AC, Stevensweert,https://waarneming.nl/observation/376226147/
"POINT (5.71657 51.25106)",51.25106,5.71657,Groenstraat, 6004 GX, Weert,https://waarneming.nl/observation/376238896/
"POINT (6.0498 51.29525)",51.29525,6.04980,Sint Ursulahof, 5995 CB, Kessel,https://waarneming.nl/observation/376241703/
"POINT (6.13617 51.42247)",51.42247,6.13617,Kloosterstraat, 5971 BD, Grubbenvorst,https://waarneming.nl/observation/376242716/
"POINT (5.94623 51.20953)",51.20953,5.94623,Van Horneplein, 6085 CZ, Horn,https://waarneming.nl/observation/376299368/
"POINT (6.14844 51.34968)",51.34968,6.14844,Abraham Kuyperstraat, 5931 HG, Tegelen,https://waarneming.nl/observation/376283118/
"POINT (5.85473 51.07356)",51.07356,5.85473,N276, 6114 BW, Dieteren,https://waarneming.nl/observation/377437305/
"POINT (5.70941 50.88285)",50.88285,5.70941,Ankerkade, 6222 NM, Itteren,https://waarneming.nl/observation/377350031/
"POINT (6.09779 51.32985)",51.32985,6.09779,Baron van Erplaan, 5991 BZ, Baarlo,https://waarneming.nl/observation/376539999/
"POINT (5.75949 50.96737)",50.96737,5.75949,Barbariniplein, 6171 GJ, Stein,https://waarneming.nl/observation/376717167/
"POINT (5.97407 50.87255)",50.87255,5.97407,Keulseweg, 6417 RB, Heerlen,https://waarneming.nl/observation/376333969/
"POINT (6.04694 51.45654)",51.45654,6.04694,Weltersweide, 5961 EK, Horst,https://waarneming.nl/observation/376348251/
"POINT (5.97624 50.94634)",50.94634,5.97624,Johan-Frisostraat, 6443 AN, Brunssum,https://waarneming.nl/observation/376364178/
