WKT,latitude,longitude,street,postalcode,city,description
"POINT (3.61245 51.49089)",51.49089,3.61245,Isaac Beeckmanstraat, 4336 DD, Middelburg,https://waarneming.nl/observation/356692925/
"POINT (3.55006 51.39933)",51.39933,3.55006,Wulpenlaan, 4511 XB, Breskens,https://waarneming.nl/observation/356837942/
"POINT (4.08917 51.27089)",51.27089,4.08917,Kennedylaan, 4567 CT, Clinge,https://waarneming.nl/observation/357123198/
"POINT (3.83872 51.32425)",51.32425,3.83872,Abeelstraat, 4537 XR, Terneuzen,https://waarneming.nl/observation/357193638/
"POINT (4.20685 51.534)",51.53400,4.20685,Dorsvloer, 4691 DL, Tholen,https://waarneming.nl/observation/357044295/
"POINT (3.9139 51.65107)",51.65107,3.91390,Varremarkt, 4301 ER, Zierikzee,https://waarneming.nl/observation/357038397/
"POINT (3.5076 51.54671)",51.54671,3.50760,Agathastraat, 4363 BD, Aagtekerke,https://waarneming.nl/observation/357065108/
"POINT (3.93337 51.65565)",51.65565,3.93337,Leverdijksepad, 4301 NR, Zierikzee,https://waarneming.nl/observation/357196820/
"POINT (3.83603 51.33519)",51.33519,3.83603,Oesterputten, 4532 AK, Terneuzen,https://waarneming.nl/observation/357194846/
"POINT (3.90021 51.65339)",51.65339,3.90021,Oesterstraat, 4301 ZK, Zierikzee,https://waarneming.nl/observation/357245326/
"POINT (3.90785 51.49365)",51.49365,3.90785,Boudewijn Büchlaan, 4481 DV, Kloetinge,https://waarneming.nl/observation/362078032/
"POINT (3.61452 51.32102)",51.32102,3.61452,Oranjestraat, 4515 CA, IJzendijke,https://waarneming.nl/observation/357306689/
"POINT (3.77101 51.45158)",51.45158,3.77101,Werrilaan, 4453 CA, 's-Heerenhoek,https://waarneming.nl/observation/357364738/
"POINT (3.99451 51.51959)",51.51959,3.99451,Bakkersboogerd, 4424 EJ, Wemeldinge,https://waarneming.nl/observation/357492184/
"POINT (3.43981 51.3654)",51.36540,3.43981,,4506 HN, Cadzand,https://waarneming.nl/observation/357981964/
"POINT (3.99362 51.51998)",51.51998,3.99362,Bakkersboogerd, 4424 EJ, Wemeldinge,https://waarneming.nl/observation/357492017/
"POINT (3.6168 51.48811)",51.48811,3.61680,Statenhove, 4336 CB, Middelburg,https://waarneming.nl/observation/357550463/
"POINT (4.02727 51.24835)",51.24835,4.02727,Magdalenastraat, 4566 BA, Heikant,https://waarneming.nl/observation/357624284/
"POINT (3.9999 51.44887)",51.44887,3.99990,Keeten, 4417 CD, Hansweert,https://waarneming.nl/observation/357665232/
"POINT (3.46722 51.37615)",51.37615,3.46722,Molenweg, 4504 AP, Nieuwvliet,https://waarneming.nl/observation/362078112/
"POINT (4.04419 51.50071)",51.50071,4.04419,Damstraat, 4401 AX, Yerseke,https://waarneming.nl/observation/357652930/
"POINT (3.9847 51.32162)",51.32162,3.98470,Bossestraat, 4581 BA, Vogelwaarde,https://waarneming.nl/observation/357687565/
"POINT (3.83867 51.33085)",51.33085,3.83867,Irenestraat, 4532 BH, Terneuzen,https://waarneming.nl/observation/357705280/
"POINT (3.46769 51.37617)",51.37617,3.46769,Sint Bavodijk, 4504 AP, Nieuwvliet,https://waarneming.nl/observation/357709967/
"POINT (3.982 51.38741)",51.38741,3.98200,Lageweg, 4589 KW, Ossenisse,https://waarneming.nl/observation/357750401/
"POINT (3.77089 51.73212)",51.73212,3.77089,Jan van Renesseweg, 4325 BZ, Renesse,https://waarneming.nl/observation/358307839/
"POINT (3.89578 51.52308)",51.52308,3.89578,Blokjesplaat, 4465 BD, Goes,https://waarneming.nl/observation/358123329/
"POINT (4.08204 51.54137)",51.54137,4.08204,Gorishoeksedijk, 4694 PJ, Scherpenisse,https://waarneming.nl/observation/362078270/
"POINT (3.56886 51.46335)",51.46335,3.56886,Assumburg, 4385 EE, Vlissingen,https://waarneming.nl/observation/362078425/
